received_at,Total Installs
2022-02-27 00:00:00+00:00,1641768
2022-02-28 00:00:00+00:00,1646471
2022-03-01 00:00:00+00:00,1651457
2022-03-02 00:00:00+00:00,1656942
2022-03-03 00:00:00+00:00,1661219
2022-03-04 00:00:00+00:00,1665808
2022-03-05 00:00:00+00:00,1669672
2022-03-06 00:00:00+00:00,1674061
2022-03-07 00:00:00+00:00,1678507
2022-03-08 00:00:00+00:00,1683083
2022-03-09 00:00:00+00:00,1687663
2022-03-10 00:00:00+00:00,1691982
2022-03-11 00:00:00+00:00,1696239
2022-03-12 00:00:00+00:00,1699657
2022-03-13 00:00:00+00:00,1703255
2022-03-14 00:00:00+00:00,1707611
2022-03-15 00:00:00+00:00,1711263
2022-03-16 00:00:00+00:00,1715500
2022-03-17 00:00:00+00:00,1719863
2022-03-18 00:00:00+00:00,1723876
2022-03-19 00:00:00+00:00,1727387
2022-03-20 00:00:00+00:00,1731762
2022-03-21 00:00:00+00:00,1736317
2022-03-22 00:00:00+00:00,1741379
2022-03-23 00:00:00+00:00,1746015
2022-03-24 00:00:00+00:00,1750646
2022-03-25 00:00:00+00:00,1754741
2022-03-26 00:00:00+00:00,1758850
2022-03-27 00:00:00+00:00,1762857
2022-03-28 00:00:00+00:00,1767325
2022-03-29 00:00:00+00:00,1771343
2022-03-30 00:00:00+00:00,1775232
2022-03-31 00:00:00+00:00,1778696
2022-04-01 00:00:00+00:00,1782600
2022-04-02 00:00:00+00:00,1786212
2022-04-03 00:00:00+00:00,1790721
2022-04-04 00:00:00+00:00,1795226
2022-04-05 00:00:00+00:00,1799520
2022-04-06 00:00:00+00:00,1803744
2022-04-07 00:00:00+00:00,1807964
2022-04-08 00:00:00+00:00,1812178
2022-04-09 00:00:00+00:00,1816398
2022-04-10 00:00:00+00:00,1820512
2022-04-11 00:00:00+00:00,1824329
2022-04-12 00:00:00+00:00,1828507
2022-04-13 00:00:00+00:00,1833471
2022-04-14 00:00:00+00:00,1838139
2022-04-15 00:00:00+00:00,1842617
2022-04-16 00:00:00+00:00,1846204
2022-04-17 00:00:00+00:00,1851083
2022-04-18 00:00:00+00:00,1855525
2022-04-19 00:00:00+00:00,1859846
2022-04-20 00:00:00+00:00,1864356
2022-04-21 00:00:00+00:00,1868235
2022-04-22 00:00:00+00:00,1871440
2022-04-23 00:00:00+00:00,1874113
2022-04-24 00:00:00+00:00,1876304
